================ Training Loss (Sat Nov 29 20:58:22 2025) ================
[Rank 0] (epoch: 1, iters: 460, time: 0.088, data: 0.021) , D_A: 0.497, G_A: 0.815, cycle_A: 3.000, D_B: 0.225, G_B: 0.479, cycle_B: 2.911, clip_style_AtoB: 7.484, clip_style_BtoA: 7.465, edge_AtoB: 3.289

[Rank 0] (epoch: 1, iters: 480, time: 0.087, data: 0.026) , D_A: 0.243, G_A: 0.772, cycle_A: 2.472, D_B: 0.312, G_B: 0.337, cycle_B: 3.611, clip_style_AtoB: 7.336, clip_style_BtoA: 7.297, edge_AtoB: 4.256

[Rank 0] (epoch: 1, iters: 500, time: 0.087, data: 0.015) , D_A: 0.160, G_A: 0.723, cycle_A: 3.360, D_B: 0.270, G_B: 0.342, cycle_B: 2.381, clip_style_AtoB: 7.500, clip_style_BtoA: 7.336, edge_AtoB: 4.908

[Rank 0] (epoch: 1, iters: 520, time: 0.088, data: 0.022) , D_A: 0.159, G_A: 0.709, cycle_A: 3.093, D_B: 0.271, G_B: 0.400, cycle_B: 3.428, clip_style_AtoB: 7.324, clip_style_BtoA: 7.320, edge_AtoB: 4.735

[Rank 0] (epoch: 1, iters: 540, time: 0.087, data: 0.020) , D_A: 0.143, G_A: 0.709, cycle_A: 3.082, D_B: 0.203, G_B: 0.458, cycle_B: 2.771, clip_style_AtoB: 7.461, clip_style_BtoA: 7.359, edge_AtoB: 3.038

[Rank 0] (epoch: 1, iters: 560, time: 0.085, data: 0.018) , D_A: 0.261, G_A: 0.746, cycle_A: 3.571, D_B: 0.244, G_B: 0.383, cycle_B: 3.344, clip_style_AtoB: 7.461, clip_style_BtoA: 7.383, edge_AtoB: 3.439

[Rank 0] (epoch: 1, iters: 580, time: 0.087, data: 0.024) , D_A: 0.187, G_A: 0.622, cycle_A: 3.163, D_B: 0.280, G_B: 0.361, cycle_B: 2.890, clip_style_AtoB: 7.508, clip_style_BtoA: 7.402, edge_AtoB: 4.020

